"EP_Plotid","spec1","spec2","spec3","spec4","spec5","spec6","spec7","spec8","spec9","spec10"
"SEW16",9,3,9,5,0,3,7,4,5,1
"SEW17",0,2,4,2,3,7,2,3,10,4
"SEW18",10,3,5,2,1,10,1,0,10,5
"SEW19",8,6,4,8,6,87,2,3,2,0
"SEW20",9,0,1,3,6,9,1,10,48,5
"HEW50",0,10,9,6,2,95,6,9,6,7
"HEW1",0,10,8,5,1,6,4,2,8,7
"HEW2",9,0,5,0,1,4,4,6,2,78
"HEW3",30,1,4,19,4,3,5,6,1,0
"HEW4",1,10,0,7,1,4,3,8,4,2
"HEW5",8,3,10,5,2,3,10,2,6,6
"HEW6",8,3,3,8,9,4,3,2,7,7
"HEW7",9,4,7,6,4,9,10,5,8,2
"HEW8",10,8,1,10,3,1,10,10,97,3
"HEW9",65,10,4,3,61,5,6,4,5,2
"HEW10",8,2,2,4,2,6,7,56,5,0
"HEW11",6,4,9,0,1,85,7,2,2,8
"HEW12",3,10,9,9,5,7,9,9,5,7
"HEW14",1,1,2,5,5,99,2,8,50,2
"HEW15",0,8,0,10,21,10,10,0,5,4
"HEW16",5,9,10,1,0,10,3,7,7,4
"HEW17",4,8,5,2,10,3,10,7,1,4
"HEW18",3,9,4,3,7,8,3,1,5,9
"HEW19",3,6,4,80,10,5,7,5,6,0
"HEW20",3,0,3,5,4,4,6,10,4,6
"HEW21",2,8,6,2,7,10,3,1,4,1
"HEW22",1,0,5,7,3,5,1,0,2,7
"HEW23",10,6,10,5,3,2,6,4,5,9
"HEW24",7,74,2,1,4,33,9,10,10,2
"HEW26",1,2,6,2,6,10,19,0,7,1
"HEW27",0,2,9,1,7,3,1,10,64,4
"HEW28",4,4,3,1,71,1,5,98,6,10
"HEW29",6,9,2,6,2,4,9,8,10,7
"HEW30",10,10,8,5,0,91,4,6,9,7
"HEW31",6,72,0,9,17,7,1,1,3,6
"HEW32",10,9,0,8,5,6,8,1,9,3
"HEW33",10,45,10,0,2,0,1,1,9,6
"HEW34",77,10,4,7,10,8,1,5,6,8
"HEW35",1,6,6,0,2,3,9,81,6,9
"HEW36",8,2,3,58,4,4,6,0,4,4
"HEW37",10,1,5,1,5,60,56,7,2,1
"HEW38",22,83,2,8,7,9,48,4,3,2
"HEW39",5,7,6,19,10,8,0,10,1,2
"HEW40",8,9,4,28,6,9,8,6,8,3
"HEW41",10,7,1,5,10,4,2,6,8,6
"HEW42",4,3,1,2,78,9,8,3,73,3
"HEW43",1,5,72,1,10,59,2,9,6,6
"HEW44",4,0,7,3,27,8,3,9,8,25
"HEW45",1,6,50,20,7,1,0,1,9,55
"HEW46",4,1,0,5,3,1,4,2,5,1
"HEW47",60,9,65,1,6,8,2,8,1,7
"HEW48",10,2,0,9,3,11,95,5,10,68
"HEW49",1,3,7,3,10,3,2,8,9,7
"HEW25",1,8,7,2,0,3,3,1,2,7
"SEG27",6,30,3,0,2,8,5,0,6,1
"SEG28",3,7,4,10,6,6,4,37,3,8
"SEG29",3,6,10,9,6,6,0,7,4,1
"SEG30",19,27,57,2,1,6,9,9,6,1
"SEG31",6,5,8,0,1,3,1,9,1,10
"SEG32",2,48,1,3,1,3,6,10,10,2
"SEG33",2,9,6,8,4,10,0,3,3,10
"SEG34",46,86,5,8,11,9,8,5,1,2
"SEG35",1,6,3,1,6,0,8,5,10,2
"SEG36",2,0,1,3,37,6,8,3,3,2
"SEG37",8,6,2,4,6,15,6,2,4,6
"SEG38",8,0,2,4,2,6,2,3,10,3
"SEG39",3,97,3,1,93,9,1,36,3,4
"SEG40",2,4,1,3,4,3,2,0,3,9
"SEG41",9,7,2,5,7,9,2,5,2,5
"SEG42",4,10,8,10,9,6,4,43,8,0
"SEG43",8,4,9,5,2,100,48,10,1,3
"SEG44",3,10,4,9,1,8,3,8,10,5
"SEG45",3,2,3,0,1,10,6,10,1,10
"SEG46",0,3,1,5,7,43,2,86,6,7
"AEG1",4,4,4,82,4,2,10,1,3,21
"AEG2",9,3,6,4,2,4,4,2,6,6
"AEG3",10,9,7,2,0,5,2,6,60,6
"AEG4",0,9,0,10,7,10,1,1,9,1
"AEG5",4,2,4,6,2,3,7,5,10,9
"AEG6",3,5,9,0,4,2,22,0,8,43
"AEG7",2,0,2,3,3,2,21,10,4,8
"AEG8",8,1,3,5,6,0,10,0,0,0
"AEG9",8,1,5,8,0,1,5,4,10,9
"AEG10",0,12,0,9,6,5,3,2,0,9
"AEG11",3,2,3,0,3,10,1,5,29,10
"AEG12",1,2,1,8,1,2,9,6,10,6
"AEG13",8,6,9,4,0,2,6,4,0,15
"AEG14",9,2,4,8,3,6,6,0,7,6
"AEG15",5,14,3,1,6,4,1,54,6,6
"AEG16",5,12,4,5,6,0,0,9,5,0
"AEG17",3,9,2,10,4,1,1,9,2,7
"AEG18",3,4,73,8,37,10,4,4,5,10
"AEG19",0,1,1,97,5,5,2,9,9,7
"SEG47",2,3,0,5,4,87,10,10,3,66
"SEG48",0,6,8,6,9,10,3,2,10,69
"SEG49",0,6,7,4,97,36,4,33,1,6
"SEG50",2,3,8,6,10,7,9,3,3,32
"AEG25",10,9,6,8,7,0,9,8,4,6
"AEG26",2,9,10,1,9,72,1,2,4,7
"AEG27",6,0,1,6,3,6,2,7,9,8
"AEG28",0,5,6,10,9,5,76,8,51,5
"AEG29",6,6,4,9,3,10,4,0,88,5
"AEG30",8,5,8,7,3,9,10,7,2,5
"AEG31",9,9,8,3,8,3,2,9,10,2
"AEG32",7,1,0,5,5,3,8,7,7,0
"AEG33",6,1,6,10,7,10,8,2,5,6
"AEG34",6,1,2,2,3,7,6,8,5,6
"AEG35",8,10,6,6,6,8,4,6,3,0
"AEG36",6,9,8,2,3,10,0,3,6,9
"AEG37",4,6,6,1,8,0,7,10,0,7
"AEG38",5,7,8,8,6,1,20,5,6,10
"AEG39",0,3,4,76,4,0,7,5,3,4
"AEG40",2,36,1,53,3,1,2,64,45,2
"AEG41",7,9,10,0,7,5,10,1,6,2
"AEG20",2,5,4,23,3,0,6,6,0,4
"AEG21",2,0,0,0,8,6,2,8,7,2
"AEG22",0,6,3,7,31,9,1,7,66,6
"AEG23",5,7,5,4,4,5,4,10,1,7
"AEG24",2,1,2,10,0,3,6,0,9,5
"AEG46",8,0,3,10,0,11,3,2,4,10
"AEG47",6,9,2,4,9,9,8,1,9,8
"AEG48",1,2,2,5,9,4,6,4,6,4
"AEG49",4,4,8,9,0,9,3,3,10,66
"AEG50",3,1,3,3,7,5,4,9,0,1
"AEW1",1,2,24,5,7,8,8,4,3,7
"AEW2",1,4,4,9,10,98,10,4,8,4
"AEW3",3,10,2,9,5,4,9,2,10,10
"AEW4",2,6,6,9,1,0,3,76,10,7
"AEW5",95,10,9,6,5,3,1,2,9,6
"AEW6",8,92,7,3,6,1,5,6,9,6
"AEW7",8,4,8,8,1,2,5,8,7,6
"AEW8",17,7,3,2,3,6,2,70,68,2
"AEW9",5,13,0,5,3,3,9,10,4,3
"AEW10",6,1,3,2,8,7,1,3,1,2
"AEG42",6,1,9,6,0,9,9,67,8,0
"AEG43",8,5,0,6,7,8,1,5,4,5
"AEG44",3,1,2,10,8,4,90,1,6,6
"AEG45",3,8,3,6,6,97,6,6,0,10
"AEW15",9,6,3,3,3,6,7,8,8,9
"AEW16",3,6,5,8,8,0,4,1,3,1
"AEW17",3,2,5,86,5,10,4,3,5,6
"AEW18",8,5,2,5,3,7,8,0,9,8
"AEW19",4,5,3,2,0,28,0,32,3,6
"AEW20",1,8,10,6,4,4,8,4,10,1
"AEW21",7,9,6,5,5,6,67,1,2,39
"AEW22",5,0,10,1,2,0,6,2,3,1
"AEW23",2,1,8,4,2,2,1,5,4,40
"AEW24",5,9,8,80,2,5,1,2,5,1
"AEW25",3,32,6,9,8,41,4,10,6,10
"AEW26",0,10,10,4,7,4,1,10,7,2
"AEW27",8,5,3,0,1,8,4,4,75,9
"AEW28",3,6,0,9,2,2,8,9,67,7
"AEW29",48,7,2,2,8,9,6,9,8,9
"AEW30",6,10,6,5,4,8,6,9,9,7
"AEW31",69,0,9,78,2,7,56,5,2,8
"AEW11",5,0,5,0,9,5,23,7,89,7
"AEW12",9,5,0,6,10,7,3,9,9,0
"AEW13",8,1,5,1,3,0,33,8,7,82
"AEW14",1,5,6,8,10,7,7,3,7,10
"AEW37",2,8,8,1,0,9,7,5,3,54
"AEW38",9,28,10,8,7,3,7,5,9,76
"AEW39",10,1,3,4,4,7,4,0,3,6
"AEW40",2,9,2,2,7,14,5,6,6,26
"AEW41",5,4,6,5,5,6,8,0,1,1
"AEW42",9,4,8,7,6,84,5,8,5,4
"AEW43",3,1,4,8,3,4,1,10,4,7
"AEW44",9,1,6,9,8,5,4,0,3,3
"AEW45",9,1,5,8,9,9,45,93,8,10
"AEW46",4,1,9,3,5,4,10,5,5,1
"AEW47",10,10,7,5,9,10,4,5,9,3
"AEW48",4,7,4,1,0,8,3,10,2,8
"AEW49",20,78,4,1,3,2,0,6,45,4
"AEW50",1,3,6,3,9,0,2,0,9,4
"HEG1",6,34,2,3,2,6,8,4,72,2
"HEG2",0,6,4,9,6,8,7,7,10,0
"HEG3",34,6,4,2,1,4,10,24,8,7
"AEW32",10,9,6,2,2,0,10,2,8,3
"AEW33",10,7,78,6,1,10,10,0,1,7
"AEW34",1,1,2,7,4,3,4,0,10,1
"AEW35",8,2,3,3,5,10,10,1,1,7
"AEW36",26,1,13,7,8,15,3,3,6,7
"HEG9",9,10,6,5,97,9,5,2,15,0
"HEG10",10,3,2,4,23,6,2,9,0,1
"HEG11",7,1,8,5,7,6,7,3,1,1
"HEG12",7,3,1,1,7,1,0,3,6,6
"HEG13",3,21,6,9,6,4,5,3,1,0
"HEG14",3,8,0,4,8,4,9,4,3,5
"HEG15",8,10,9,2,6,73,4,1,9,10
"HEG16",2,0,10,2,2,2,6,4,8,5
"HEG17",7,2,1,6,0,10,9,5,5,1
"HEG18",6,3,6,2,1,0,2,9,8,8
"HEG19",2,6,1,1,5,8,3,6,6,75
"HEG20",9,6,70,0,7,1,6,10,8,0
"HEG21",4,9,80,0,6,3,1,7,2,4
"HEG22",1,0,2,10,0,3,4,4,10,3
"HEG23",7,1,10,5,5,0,1,2,99,10
"HEG24",8,10,5,8,0,10,10,8,2,0
"HEG25",0,99,93,0,6,1,9,81,10,6
"HEG4",6,87,9,5,8,4,5,6,1,1
"HEG5",10,2,4,9,5,7,3,6,6,7
"HEG6",2,0,4,7,4,8,9,4,84,4
"HEG7",7,3,8,6,8,8,5,2,9,2
"HEG8",3,2,3,5,5,10,4,9,10,10
"HEG26",7,3,2,7,4,3,6,1,6,28
"HEG27",3,5,2,0,10,8,9,66,4,8
"HEG28",5,10,9,2,8,4,62,7,9,22
"HEG29",3,6,7,2,0,7,3,5,2,3
"HEG30",5,1,7,5,9,6,0,0,2,10
"HEG31",7,4,0,9,5,1,6,6,1,6
"HEG32",2,7,1,2,2,0,6,7,10,4
"HEG33",5,0,3,9,2,7,6,2,6,7
"HEG34",6,6,0,4,4,6,5,4,1,5
"HEG35",2,10,9,0,3,4,5,10,9,0
"HEG36",9,0,7,7,8,9,7,9,0,7
"HEG37",10,10,9,8,4,8,6,0,10,9
"HEG38",2,26,1,0,7,6,9,0,9,2
"HEG39",4,0,0,4,8,5,2,7,7,6
"HEG40",7,4,5,2,66,4,5,82,4,2
"HEG41",6,9,2,6,1,8,7,9,9,1
"HEG42",2,7,10,82,4,6,4,10,3,7
"HEG43",6,8,10,7,7,9,5,8,5,8
"HEG44",3,0,0,2,4,7,9,4,1,6
"HEG45",0,3,7,3,9,6,2,5,0,0
"HEG46",5,10,0,8,2,5,41,4,8,3
"HEG47",5,5,9,7,8,2,7,2,0,1
"HEG48",1,5,2,5,4,8,9,0,2,5
"HEG49",2,8,5,2,10,1,5,3,7,10
"HEG50",6,5,2,10,6,7,36,8,1,2
