"EP_Plotid","spec1","spec2","spec3","spec4","spec5","spec6","spec7","spec8","spec9","spec10"
"HEW17",6,3,1,0,7,3,6,8,6,3
"HEW18",7,7,5,8,5,5,10,4,2,8
"HEW19",3,1,1,1,59,2,5,1,10,6
"HEW20",7,0,6,5,1,7,5,5,3,6
"HEW21",10,2,6,1,0,7,7,12,5,10
"HEW22",10,3,9,4,0,2,5,9,7,0
"HEW23",10,1,1,9,10,6,1,10,2,9
"HEW24",8,0,6,8,8,2,1,9,3,62
"HEW26",6,9,4,6,2,6,8,3,100,7
"HEW27",0,1,6,6,2,2,6,91,24,5
"HEW28",2,81,5,0,4,5,5,8,8,7
"HEW29",1,3,3,9,10,0,8,7,0,1
"HEW30",5,5,9,2,10,8,1,4,3,9
"HEW31",5,8,1,2,6,7,8,10,3,5
"HEW32",5,6,6,8,1,4,9,3,2,3
"HEW33",9,10,9,10,1,1,88,8,6,2
"HEW34",34,6,0,7,6,6,7,2,1,6
"HEW35",0,10,1,10,10,3,7,7,3,3
"HEW36",9,4,10,2,1,4,2,8,1,3
"HEW37",1,2,10,7,3,10,10,10,6,10
"HEW38",2,2,9,6,2,9,3,3,7,6
"HEW39",2,6,3,1,9,7,6,10,3,5
"HEW40",0,10,7,5,1,9,9,1,0,9
"HEW41",4,1,1,4,9,3,8,8,5,2
"HEW42",4,8,8,3,66,0,5,8,0,1
"HEW43",1,9,6,8,4,3,1,3,75,8
"HEW44",5,3,6,19,8,5,3,5,6,4
"HEW45",0,9,8,9,85,5,8,10,6,10
"HEW46",10,1,5,3,10,4,8,5,0,8
"HEW47",3,2,5,7,1,4,6,10,3,8
"HEW48",6,6,6,5,1,8,5,7,6,3
"HEW49",10,4,3,3,5,8,4,3,8,2
"HEW25",10,75,6,0,1,9,10,1,5,0
"SEG27",2,63,6,4,6,82,9,6,7,6
"SEG28",9,4,2,7,1,10,10,2,9,10
"SEG29",7,50,9,1,6,2,9,56,0,9
"SEG30",0,0,0,8,5,3,1,1,1,7
"SEG31",2,1,1,4,0,47,8,10,77,26
"SEG32",1,2,3,8,6,1,3,8,7,0
"SEG33",9,0,5,3,6,8,10,6,1,7
"SEG34",3,8,0,3,2,7,9,7,7,6
"SEG35",4,4,9,9,3,4,5,8,1,7
"SEG36",83,3,33,4,39,6,2,8,1,4
"SEG37",8,4,4,5,10,9,6,7,6,25
"SEG38",15,9,7,0,6,8,5,4,10,5
"SEG39",6,4,43,4,9,5,1,4,4,3
"SEG40",7,6,0,6,8,0,66,0,1,10
"SEG41",8,6,8,10,4,0,69,1,9,3
"SEG42",5,23,1,0,0,68,0,2,6,3
"SEG43",2,3,4,1,0,1,9,2,0,2
"SEG44",4,5,43,8,6,0,1,3,1,29
"SEG45",10,9,7,0,8,1,2,4,80,6
"SEG46",9,1,1,10,71,3,7,6,10,4
"AEG1",9,8,2,4,3,4,7,8,3,2
"AEG2",7,3,4,76,8,7,6,8,0,7
"AEG3",8,76,4,4,8,5,4,8,5,5
"AEG4",71,7,2,9,5,7,9,0,3,2
"AEG5",0,8,6,2,5,5,5,9,2,7
"AEG6",0,3,8,3,7,8,0,5,1,6
"AEG7",5,5,8,8,7,1,3,4,10,1
"AEG8",74,5,2,8,10,7,2,5,1,10
"AEG9",6,5,0,8,8,2,4,37,51,23
"AEG10",7,4,2,9,10,1,1,8,2,6
"AEG11",95,1,8,8,0,5,41,6,4,6
"AEG12",1,6,4,9,5,7,10,1,1,3
"AEG13",2,2,3,9,1,9,10,9,77,6
"AEG14",2,84,1,22,7,9,2,85,6,8
"AEG15",1,10,2,1,9,6,2,8,4,2
"AEG16",9,7,2,6,75,6,8,10,0,2
"AEG17",10,1,7,10,10,3,9,7,1,0
"AEG18",6,3,1,6,6,4,4,9,46,3
"AEG19",3,6,5,9,3,0,4,37,8,69
"SEG47",9,7,6,33,57,1,3,1,10,5
"SEG48",2,0,9,0,8,9,5,5,8,5
"SEG49",55,2,7,7,10,0,8,2,7,3
"SEG50",7,10,6,53,1,8,2,7,3,4
"AEG25",0,1,6,0,5,78,65,1,1,7
"AEG26",6,0,8,4,3,2,25,9,6,3
"AEG27",6,0,57,10,5,1,8,2,3,8
"AEG28",7,4,1,4,3,5,6,3,9,93
"AEG29",3,9,2,8,1,0,8,6,10,5
"AEG30",2,9,6,5,1,7,8,3,9,1
"AEG31",10,7,3,10,2,8,4,6,7,4
"AEG32",4,9,98,7,10,7,0,9,5,3
"AEG33",6,10,6,3,4,7,4,8,5,6
"AEG34",8,3,4,8,1,7,6,1,1,4
"AEG35",8,10,7,10,9,1,5,1,10,1
"AEG36",1,5,3,6,5,9,5,0,4,3
"AEG37",6,0,8,4,3,3,8,2,10,2
"AEG38",6,1,3,0,2,35,7,4,5,9
"AEG39",7,3,1,1,7,3,3,41,5,6
"AEG40",9,0,6,3,7,2,2,9,5,7
"AEG41",9,0,2,3,8,2,8,2,3,1
"AEG20",5,0,10,4,3,8,7,5,6,7
"AEG21",6,6,9,6,3,4,33,6,9,7
"AEG22",7,4,2,0,3,3,8,0,4,10
"AEG23",7,9,9,3,4,4,4,29,3,8
"AEG24",2,4,4,3,9,34,2,2,9,7
"AEG46",37,8,2,0,10,3,7,2,8,7
"AEG47",2,2,0,1,0,2,9,2,0,9
"AEG48",4,2,1,7,23,3,7,10,0,3
"AEG49",7,3,1,2,3,8,5,7,1,9
"AEG50",0,7,5,3,4,3,8,7,65,9
"AEW1",0,1,7,27,6,10,7,4,5,7
"AEW2",6,1,6,7,15,1,81,8,9,2
"AEW3",66,4,6,8,20,10,5,5,7,7
"AEW4",4,9,32,3,6,83,5,5,3,10
"AEW5",8,6,5,6,6,7,0,30,7,3
"AEW6",10,49,8,6,7,1,3,7,1,33
"AEW7",3,5,1,6,10,8,3,4,1,9
"AEW8",3,4,7,1,2,10,7,0,6,1
"AEW9",5,1,5,1,45,10,0,9,5,2
"AEW10",1,2,2,10,0,9,0,6,1,1
"AEG42",0,0,10,9,30,2,7,9,7,9
"AEG43",3,5,1,9,67,4,0,7,9,6
"AEG44",6,5,6,5,3,7,1,8,2,10
"AEG45",6,7,3,68,5,80,4,5,2,2
"AEW15",1,10,0,0,53,10,0,0,0,8
"AEW16",6,8,4,9,10,0,10,6,4,3
"AEW17",5,7,10,6,5,5,10,7,14,2
"AEW18",4,6,6,4,9,3,6,1,7,1
"AEW19",0,3,5,8,3,5,3,1,0,7
"AEW20",3,10,4,2,8,92,3,2,2,5
"AEW21",9,7,6,0,5,4,1,8,10,0
"AEW22",1,8,9,6,4,7,8,1,42,3
"AEW23",93,10,10,2,3,1,5,8,4,10
"AEW24",10,10,6,5,33,5,7,1,2,10
"AEW25",9,6,10,7,3,1,7,1,4,10
"AEW26",10,5,5,88,5,6,10,9,8,4
"AEW27",0,7,3,1,7,31,2,3,1,2
"AEW28",0,7,8,8,4,10,5,4,6,0
"AEW29",10,6,7,3,0,10,5,9,2,4
"AEW30",4,53,32,0,2,10,3,73,7,51
"AEW31",3,4,6,93,10,3,6,88,8,8
"AEW11",12,10,5,9,9,0,4,6,1,64
"AEW12",88,8,6,7,10,99,6,6,5,3
"AEW13",9,10,3,0,2,1,4,9,1,5
"AEW14",15,66,0,10,30,6,6,0,3,8
"AEW37",10,7,5,0,9,6,1,6,10,4
"AEW38",7,83,5,72,5,1,10,1,9,56
"AEW39",9,79,10,10,8,31,3,7,22,6
"AEW40",2,8,5,10,0,31,5,0,7,5
"AEW41",7,8,0,10,40,3,9,8,5,4
"AEW42",0,0,8,6,5,7,70,1,9,17
"AEW43",7,6,2,1,8,0,7,6,0,6
"AEW44",0,10,10,6,9,3,0,90,6,3
"AEW45",6,5,10,0,3,10,7,3,10,3
"AEW46",7,3,62,2,4,8,5,10,3,8
"AEW47",10,4,4,8,4,8,9,5,27,7
"AEW48",5,7,6,6,2,7,8,2,0,9
"AEW49",10,8,2,3,0,4,7,2,3,10
"AEW50",5,8,1,2,8,7,9,4,0,10
"HEG1",7,1,3,4,3,5,5,94,7,4
"HEG2",3,7,0,10,0,9,9,2,4,0
"HEG3",7,0,7,3,68,10,4,9,4,9
"AEW32",9,4,46,5,1,4,2,3,3,2
"AEW33",6,9,4,6,0,3,3,7,5,2
"AEW34",6,9,96,3,7,0,3,8,3,57
"AEW35",1,13,6,8,1,8,5,3,9,8
"AEW36",87,16,1,3,7,9,5,9,1,0
"HEG9",0,64,1,9,2,2,1,4,7,24
"HEG10",10,80,10,1,9,1,6,6,5,32
"HEG11",4,2,0,1,3,1,0,9,100,0
"HEG12",3,7,3,4,6,6,1,9,6,0
"HEG13",5,10,2,4,10,1,9,0,2,7
"HEG14",6,4,8,7,0,0,2,4,1,3
"HEG15",5,5,9,5,6,0,7,10,2,5
"HEG16",7,89,6,6,6,8,6,10,17,2
"HEG17",56,2,88,8,1,9,4,91,8,3
"HEG18",3,1,3,1,9,5,0,4,8,0
"HEG19",10,5,0,6,0,9,55,1,0,0
"HEG20",10,9,4,8,4,6,2,6,2,8
"HEG21",8,10,8,9,2,2,6,9,2,9
"HEG22",4,4,4,10,3,7,9,7,10,1
"HEG23",6,8,5,81,7,3,5,0,5,1
"HEG24",7,1,0,4,9,0,3,27,7,10
"HEG25",3,4,9,7,0,5,9,0,0,9
"HEG4",8,6,3,2,0,0,1,3,9,9
"HEG5",5,7,9,7,8,10,5,0,6,6
"HEG6",0,4,10,5,10,0,4,1,2,5
"HEG7",2,5,65,7,5,9,3,1,81,6
"HEG8",9,9,8,7,8,1,9,43,5,3
"HEG26",8,9,6,35,9,4,7,5,7,0
"HEG27",5,6,8,0,9,7,2,1,2,1
"HEG28",5,1,3,3,9,7,3,8,5,6
"HEG29",4,8,7,93,9,95,9,3,4,3
"HEG30",8,2,3,8,10,10,7,8,10,9
"HEG31",5,10,9,10,1,4,1,6,3,10
"HEG32",10,7,3,5,1,46,0,32,7,7
"HEG33",3,3,53,1,1,0,9,38,3,10
"HEG34",6,8,5,2,3,4,4,6,0,10
"HEG35",7,9,5,2,5,10,8,8,9,2
"HEG36",8,7,6,9,4,99,0,2,2,6
"HEG37",2,7,6,4,10,7,10,9,83,4
"HEG38",1,1,2,5,0,61,3,10,1,5
"HEG39",92,1,66,2,77,5,6,85,4,6
"HEG40",0,9,5,0,0,0,39,1,36,9
"HEG41",43,5,1,9,37,7,8,10,2,8
"HEG42",10,1,5,3,0,2,7,4,2,9
"HEG43",1,9,5,7,79,0,8,10,10,9
"HEG44",10,35,2,4,3,4,92,17,0,2
"HEG45",7,0,61,4,9,0,5,8,7,7
"HEG46",9,6,9,1,4,8,8,10,2,8
"HEG47",6,9,9,6,7,3,1,7,8,10
"HEG48",71,10,2,2,4,3,9,4,8,72
"HEG49",0,8,5,5,3,8,7,84,2,6
"HEG50",6,1,0,8,4,9,8,1,3,5
"None",4,99,7,7,6,2,7,1,1,0
