"EP_Plotid","spec1","spec2","spec3","spec4","spec5","spec6","spec7","spec8","spec9","spec10"
"SEW34",1,0,65,8,7,4,3,6,6,8
"SEW35",45,8,9,5,4,2,4,63,53,8
"SEW36",10,2,0,7,0,0,9,10,0,5
"SEW37",2,5,3,1,3,6,90,4,6,0
"SEW38",1,5,1,7,8,92,1,3,6,3
"SEW39",10,39,3,2,9,9,2,4,10,9
"SEW40",0,3,2,9,2,91,2,8,8,8
"SEW41",6,2,6,7,5,61,10,7,9,2
"SEW21",9,6,4,5,8,5,9,1,4,6
"SEW22",7,6,5,2,2,10,2,2,4,5
"SEW23",8,6,7,1,5,2,65,2,2,0
"SEW24",4,8,0,7,8,1,3,9,8,7
"HEW51",5,7,10,0,9,64,0,8,7,4
"SEW1",9,3,9,32,1,6,4,3,10,3
"SEW2",4,9,10,5,8,6,7,6,10,14
"SEW3",2,0,8,6,10,9,5,10,0,6
"SEW4",4,5,7,5,7,0,3,2,8,3
"SEW5",1,3,4,2,10,2,6,8,71,10
"SEW6",4,1,2,3,1,2,0,6,10,6
"SEW7",1,7,1,0,9,10,5,2,7,7
"SEW8",5,6,3,5,5,8,5,0,0,2
"SEW9",8,3,6,8,5,9,9,4,5,0
"SEW10",2,2,6,10,1,9,9,1,3,2
"SEW11",0,6,1,5,8,7,0,3,9,3
"SEW12",2,6,2,3,44,2,4,5,76,8
"SEW13",7,0,8,9,4,6,4,5,7,3
"SEW14",8,8,5,0,4,3,8,9,62,10
"SEW15",10,1,10,0,3,71,5,4,8,9
"SEW16",8,6,2,7,3,93,3,8,7,0
"SEW17",1,32,5,8,65,9,2,9,6,0
"SEW18",0,25,3,9,4,2,0,0,8,1
"SEW19",1,9,8,6,2,7,0,0,18,6
"SEW20",4,34,8,7,1,24,4,8,7,1
"HEW50",2,9,1,74,7,6,4,1,1,0
"HEW1",9,0,0,10,1,3,5,10,3,37
"HEW2",3,10,2,8,10,99,7,5,7,5
"HEW3",4,51,4,10,8,1,0,6,5,80
"HEW4",6,5,5,0,1,0,8,4,4,10
"HEW5",6,2,7,0,0,35,4,0,7,10
"HEW6",97,1,0,1,71,10,0,5,7,1
"HEW7",9,3,9,4,7,96,4,6,2,1
"HEW8",5,61,5,3,8,6,0,19,2,9
"HEW9",2,2,10,4,7,2,4,8,0,9
"HEW10",58,8,10,6,14,10,2,2,58,5
"HEW11",3,59,6,4,4,8,1,2,10,6
"HEW12",8,2,6,1,7,3,2,42,34,7
"HEW14",4,0,44,0,1,6,9,5,63,2
"HEW15",7,6,1,7,7,7,8,9,9,10
"HEW16",4,5,3,3,9,6,3,3,6,6
"HEW17",6,3,5,9,7,3,5,6,9,50
"HEW18",88,9,1,4,10,8,7,4,1,1
"HEW19",5,8,6,1,2,5,6,0,64,4
"HEW20",1,6,93,7,6,0,1,1,92,5
"HEW21",5,7,9,2,0,52,5,8,7,2
"HEW22",29,69,9,10,51,5,2,2,6,5
"HEW23",64,3,0,6,3,10,1,0,4,10
"HEW24",8,8,3,1,1,2,9,5,6,10
"HEW26",4,2,5,8,54,3,0,41,5,5
"HEW27",7,1,1,0,0,97,3,9,1,60
"HEW28",8,74,0,3,3,3,10,7,5,0
"HEW29",0,0,1,38,7,10,5,7,3,2
"HEW30",68,10,7,91,6,6,1,24,4,7
"HEW31",74,3,10,6,2,2,1,6,10,3
"HEW32",73,7,1,4,4,1,10,1,10,79
"HEW33",0,7,8,8,10,0,7,1,3,9
"HEW34",8,0,10,0,4,7,8,5,7,9
"HEW35",1,9,2,10,10,4,8,2,6,6
"HEW36",5,2,4,1,6,3,0,7,6,1
"HEW37",9,2,10,0,4,8,2,8,0,2
"HEW38",70,9,10,9,9,3,4,8,9,0
"HEW39",6,9,5,9,0,2,5,4,1,9
"HEW40",10,5,9,3,17,3,10,2,4,5
"HEW41",5,5,6,9,53,2,45,10,5,3
"HEW42",2,0,0,3,0,34,10,9,5,2
"HEW43",6,10,5,2,6,2,6,7,7,52
"HEW44",10,6,9,8,8,1,58,10,8,29
"HEW45",2,4,10,8,5,0,7,2,10,8
"HEW46",0,9,0,62,6,0,2,7,7,0
"HEW47",3,9,9,8,6,2,1,10,62,0
"HEW48",4,1,9,3,5,6,0,4,9,8
"HEW49",8,6,7,2,27,5,7,8,2,0
"HEW25",2,7,3,2,62,9,44,89,4,5
"SEG27",9,77,1,10,1,7,10,7,2,6
"SEG28",1,8,5,2,6,8,2,0,9,4
"SEG29",6,2,10,9,5,9,9,6,4,3
"SEG30",10,6,7,8,9,0,9,9,0,6
"SEG31",4,34,3,3,8,2,21,7,10,7
"SEG32",52,7,10,5,3,10,7,1,54,72
"SEG33",4,9,7,3,6,7,2,0,8,10
"SEG34",7,2,8,2,0,1,10,9,6,1
"SEG35",4,10,0,2,1,0,2,6,2,8
"SEG36",8,6,1,10,34,1,9,6,8,0
"SEG37",1,6,4,0,10,5,9,7,3,5
"SEG38",34,8,6,0,4,1,9,6,7,2
"SEG39",7,1,2,8,2,7,3,26,3,4
"SEG40",10,5,6,4,28,1,7,9,2,0
"SEG41",8,10,52,2,8,10,5,5,37,60
"SEG42",7,8,7,4,7,10,9,57,9,1
"SEG43",10,1,8,8,9,68,10,9,4,7
"SEG44",9,7,15,8,6,1,3,4,3,10
"SEG45",4,1,45,0,8,6,2,3,8,4
"SEG46",54,1,8,3,0,2,5,5,0,3
"AEG1",6,7,2,4,2,9,5,86,9,3
"AEG2",2,2,10,25,10,7,85,9,1,3
"AEG3",1,6,9,3,72,6,4,8,8,9
"AEG4",8,5,6,8,89,31,4,5,5,0
"AEG5",0,58,52,74,2,10,0,10,4,3
"AEG6",1,8,9,9,67,4,1,6,62,10
"AEG7",1,0,2,6,9,2,1,77,1,10
"AEG8",3,65,10,9,7,10,5,10,3,10
"AEG9",0,29,7,6,7,10,45,59,8,7
"AEG10",10,4,37,7,4,5,3,10,0,10
"AEG11",5,5,10,8,5,90,2,8,1,9
"AEG12",3,2,58,3,2,9,8,7,6,3
"AEG13",1,5,1,0,1,10,8,9,4,8
"AEG14",7,7,6,26,6,1,7,1,5,2
"AEG15",10,61,10,7,3,3,3,3,41,9
"AEG16",4,17,6,8,1,0,7,9,1,5
"AEG17",6,5,9,82,9,9,6,1,0,3
"AEG18",0,1,5,10,8,4,2,3,2,9
"AEG19",0,3,0,9,5,10,9,2,3,2
"SEG47",3,10,2,2,4,1,6,6,5,6
"SEG48",8,1,1,3,10,1,7,0,5,8
"SEG49",9,65,1,40,5,7,9,9,6,3
"SEG50",0,74,10,5,8,8,6,9,9,5
"AEG25",3,3,5,5,2,5,5,1,0,5
"AEG26",0,7,5,7,5,10,29,4,3,0
"AEG27",4,10,9,7,9,8,2,9,81,22
"AEG28",4,4,2,3,5,9,14,6,4,3
"AEG29",6,9,1,6,6,5,7,2,0,10
"AEG30",79,2,0,8,0,7,0,10,2,5
"AEG31",3,6,9,7,5,3,0,10,2,2
"AEG32",78,9,6,10,9,0,10,8,10,0
"AEG33",3,7,5,5,10,2,10,9,7,10
"AEG34",2,8,3,7,8,6,6,10,10,9
"AEG35",3,8,3,27,0,9,0,8,2,8
"AEG36",7,3,0,0,9,5,4,7,2,8
"AEG37",6,53,7,2,2,5,38,5,4,8
"AEG38",1,7,5,3,7,5,8,2,1,7
"AEG39",82,1,5,7,8,9,0,21,5,8
"AEG40",7,6,4,32,6,4,7,7,3,62
"AEG41",1,84,1,93,3,2,5,8,4,0
"AEG20",10,4,3,10,96,7,7,54,9,10
"AEG21",6,3,6,8,1,0,6,5,8,7
"AEG22",9,7,5,36,3,10,5,0,3,5
"AEG23",4,2,9,6,1,6,7,4,7,6
"AEG24",6,9,10,0,6,0,7,0,1,1
"AEG46",7,9,8,0,47,92,0,4,9,4
"AEG47",1,4,9,3,6,7,3,10,8,6
"AEG48",5,23,68,2,6,1,7,9,10,9
"AEG49",6,4,2,7,3,1,39,10,9,4
"AEG50",4,9,15,2,6,9,5,1,2,8
"AEW1",10,9,5,2,3,1,10,0,10,9
"AEW2",0,9,76,0,0,1,6,3,20,10
"AEW3",0,1,6,6,7,26,5,9,3,2
"AEW4",1,8,5,7,2,1,4,8,4,1
"AEW5",4,4,0,81,4,1,0,44,45,1
"AEW6",3,1,89,7,6,7,2,5,10,3
"AEW7",3,0,2,6,8,10,0,2,2,7
"AEW8",1,3,4,8,2,6,4,10,7,6
"AEW9",6,10,9,1,5,65,8,3,8,10
"AEW10",3,1,4,9,7,4,8,6,1,9
"AEG42",3,6,10,5,0,7,5,6,3,10
"AEG43",0,58,2,9,3,0,0,2,1,4
"AEG44",1,3,2,5,10,5,6,9,7,9
"AEG45",1,4,4,81,8,0,58,1,1,1
"AEW15",10,9,7,8,4,8,8,3,5,0
"AEW16",9,1,4,3,0,10,8,23,5,0
"AEW17",5,6,2,2,6,9,8,4,7,8
"AEW18",9,0,7,6,1,4,5,6,2,6
"AEW19",8,3,9,1,0,4,3,3,6,0
"AEW20",2,2,3,3,8,4,3,1,9,8
"AEW21",4,58,7,2,29,2,10,8,8,64
"AEW22",6,7,5,0,10,7,5,4,5,8
"AEW23",3,2,7,1,9,4,49,41,6,9
"AEW24",9,5,10,7,3,1,5,1,56,8
"AEW25",2,1,6,10,5,1,3,7,2,78
"AEW26",0,1,7,8,6,8,6,1,10,0
"AEW27",26,7,3,9,8,8,6,9,0,8
"AEW28",0,9,3,1,8,10,7,2,2,7
"AEW29",9,10,3,91,6,0,2,0,6,7
"AEW30",0,9,4,5,4,0,1,8,10,10
"AEW31",1,3,10,7,7,5,9,1,5,6
"AEW11",1,10,3,9,5,7,10,3,2,6
"AEW12",6,1,0,7,2,3,1,3,4,8
"AEW13",8,1,7,1,3,7,0,2,6,4
"AEW14",10,9,1,4,0,9,9,7,2,5
"AEW37",6,2,79,10,10,6,9,2,10,10
"AEW38",7,2,0,2,7,7,1,1,86,9
"AEW39",5,5,2,2,6,0,10,7,9,6
"AEW40",10,1,1,10,6,9,65,4,10,6
"AEW41",4,2,3,1,0,0,10,6,7,2
"AEW42",2,8,2,5,0,0,1,5,0,5
"AEW43",92,6,0,9,8,0,37,3,6,5
"AEW44",1,6,6,1,7,0,2,0,3,1
"AEW45",0,64,5,4,8,7,52,76,6,6
"AEW46",2,10,9,5,80,3,6,3,3,6
"AEW47",4,8,3,0,100,5,5,6,10,69
"AEW48",3,4,6,10,2,5,3,8,5,6
"AEW49",54,3,4,7,10,78,1,2,26,3
"AEW50",2,9,30,10,7,9,3,5,10,10
"HEG1",7,6,6,8,3,9,0,3,6,2
"HEG2",6,5,2,3,1,2,3,9,9,10
"HEG3",3,5,10,1,2,0,0,10,78,4
"AEW32",5,1,4,10,3,1,7,3,2,52
"AEW33",5,3,7,0,8,8,9,6,5,0
"AEW34",8,5,6,2,4,4,3,6,0,9
"AEW35",5,0,1,8,0,4,4,10,6,9
"AEW36",9,9,9,1,2,4,10,3,1,5
"HEG9",0,4,3,3,0,5,4,2,3,1
"HEG10",8,10,9,2,10,9,4,9,1,2
"HEG11",4,2,5,7,0,3,6,10,9,7
"HEG12",4,4,8,1,0,0,2,10,0,4
"HEG13",8,4,8,9,8,3,8,5,4,7
"HEG14",8,7,4,10,4,71,2,8,3,4
"HEG15",7,6,5,1,3,19,7,4,8,0
"HEG16",4,1,15,8,1,1,7,2,14,9
"HEG17",2,10,9,3,2,10,1,5,3,4
"HEG18",10,2,1,3,10,4,6,6,0,6
"HEG19",2,1,3,82,5,0,2,0,1,8
"HEG20",7,0,8,7,6,6,8,6,1,3
"HEG21",3,5,6,10,8,6,69,0,2,10
"HEG22",8,1,5,10,3,6,5,3,75,13
"HEG23",0,86,8,7,0,7,6,5,5,2
"HEG24",5,10,3,6,5,9,0,5,3,1
"HEG25",1,10,4,6,7,4,0,0,8,3
"HEG4",8,6,7,2,2,6,0,5,5,5
"HEG5",7,9,2,2,10,10,0,17,5,0
"HEG6",5,3,6,0,1,9,1,0,8,10
"HEG7",7,24,4,8,7,3,16,10,3,0
"HEG8",5,2,6,6,5,8,9,5,3,7
"HEG26",2,7,6,2,10,3,50,9,5,5
"HEG27",3,8,10,4,2,0,8,2,3,10
"HEG28",4,0,7,8,0,7,6,5,6,5
"HEG29",3,4,2,7,3,1,1,6,6,0
"HEG30",7,68,4,83,4,10,2,4,52,9
"HEG31",3,1,0,4,7,4,8,7,10,51
"HEG32",4,2,7,40,8,8,8,1,7,0
"HEG33",8,1,1,89,2,9,3,7,5,7
"HEG34",8,0,2,6,9,9,9,10,8,8
"HEG35",3,9,3,2,4,1,76,5,9,8
"HEG36",3,9,0,1,0,3,33,9,9,4
"HEG37",6,10,9,5,0,4,10,10,9,0
"HEG38",9,6,4,4,8,4,5,2,0,1
"HEG39",10,5,3,2,10,5,10,6,4,6
"HEG40",6,60,9,0,2,9,7,83,8,1
"HEG41",2,8,51,10,0,9,5,2,3,1
"HEG42",9,9,3,0,2,0,7,3,0,3
"HEG43",7,4,87,7,7,10,2,6,5,7
"HEG44",6,6,3,3,6,2,9,2,7,3
"HEG45",5,3,5,6,5,1,9,5,10,4
"HEG46",10,1,6,10,9,6,9,1,7,8
"HEG47",5,3,9,0,10,10,3,45,3,1
"HEG48",9,6,2,23,27,5,2,35,10,2
"HEG49",0,6,10,3,5,3,0,0,3,3
"HEG50",20,9,10,10,1,3,8,5,2,6
