"EP_Plotid","pH1","pH2"
"SEW4",6.23047747518867,6.25914978897199
"SEW5",5.98251212062314,6.28689272487536
"SEW6",6.13631270891055,6.29654855718836
"SEW7",5.94981809072197,6.28799115819857
"SEW8",6.28237033206969,6.27795479791239
"SEW9",6.03245177557692,6.1502987973392
"SEW10",6.05131672834978,6.16770123587921
"SEW11",6.03649696102366,5.91571638183668
"SEW12",5.92731073237956,6.0745022367686
"SEW13",6.03808766100556,6.28545726789162
"SEW14",6.08087979853153,5.93143239673227
"SEW15",6.12989898696542,6.24141489434987
"SEW16",5.90829732175916,6.28520654868335
"SEW17",5.93614303776994,5.96590654850006
"SEW18",6.29342385763302,6.25497354716062
"SEW19",5.90528454221785,6.13587994789705
"SEW20",6.12983049144968,6.00835598167032
"HEW50",5.96775507368147,5.99384924350306
"HEW1",6.21583262635395,6.04569129068404
"HEW2",6.23725570533425,6.13979730941355
"HEW3",6.14927890989929,6.26224379502237
"HEW4",5.98115819022059,6.17614449737593
"HEW5",6.11646207040176,5.91998110143468
"HEW6",6.10859924769029,5.94673209842295
"HEW7",6.09951278399676,6.2460891940631
"HEW8",5.96017647339031,6.22081781737506
"HEW9",6.09762350497767,5.90974696483463
"HEW10",6.13312203586102,5.96536753550172
"HEW11",6.23332157796249,5.96274917116389
"HEW12",6.09942736895755,6.27145600300282
"HEW14",6.20415589110926,6.05657870192081
"HEW15",5.92002445943654,6.12508814064786
"HEW16",5.9465353040956,6.08362506441772
"HEW17",6.07701586233452,6.20426750732586
"HEW18",6.18237746246159,5.9312767053023
"HEW19",6.04979902422056,6.0393407670781
"HEW20",6.29132141564041,6.08494000630453
"HEW21",6.2799751249142,6.24716638932005
"HEW22",5.92742442646995,6.16248991312459
"HEW23",5.95399502143264,6.17900137286633
"HEW24",6.07914831871167,6.20866180351004
"HEW26",6.00897141797468,6.14353770473972
"HEW27",5.9213284236379,6.10645522288978
"HEW28",6.04459807686508,6.11584284473211
"HEW29",6.06576944366098,5.91755072809756
"HEW30",6.26435755845159,6.00966136436909
"HEW31",6.21163237094879,6.18357494864613
"HEW32",6.27217365214601,5.98942571738735
"HEW33",6.26097593614832,6.17925549596548
"HEW34",6.08495291797444,6.11219493113458
"HEW35",5.91684549041092,6.17286328217015
"HEW36",6.09702740320936,6.13672836637124
"HEW37",6.1352742488496,6.10889016473666
"HEW38",6.04815071998164,6.18850965984166
"HEW39",5.91682942770422,6.00991240283474
"HEW40",6.06351567152888,5.96148239551112
"HEW41",6.15164157422259,5.94351170985028
"HEW42",6.11758506912738,6.03437765752897
"HEW43",6.27813933379948,6.09312962489203
"HEW44",6.01099979104474,6.00236218990758
"HEW45",6.21386787705123,6.2421134728007
"HEW46",6.02279213080183,5.97935025654733
"HEW47",6.04065545937046,5.99614716097713
"HEW48",6.19491552021354,6.03349473886192
"HEW49",6.20554123669863,5.97389297550544
"HEW25",5.90812078146264,6.03125792155042
"SEG27",6.18190753720701,6.13393158614636
"SEG28",6.07592533547431,6.0617911696434
"SEG29",6.299137702398,6.28967306679115
"SEG30",6.14238061876968,5.9648097621277
"SEG31",6.10825807461515,6.07999956253916
"SEG32",6.01018410651013,6.14270238950849
"SEG33",6.26000477811322,6.07966517340392
"SEG34",6.21798842316493,6.17469429755583
"SEG35",6.17642357079312,5.97813488859683
"SEG36",6.20843149097636,6.15000388082117
"SEG37",6.19615014335141,6.0061340467073
"SEG38",6.27683193944395,5.97270070845261
"SEG39",6.22118152566254,5.99510444095358
"SEG40",5.9786278873682,6.1159285761416
"SEG41",6.1616664422676,6.19052484314889
"SEG42",6.18822047235444,6.08361931536347
"SEG43",6.25540655218065,5.96141746900976
"SEG44",6.15183041635901,6.17749005174264
"SEG45",6.24140120204538,6.28757155342028
"SEG46",6.26465300256386,6.2138818886131
"AEG1",6.214849301707,6.01861004978418
"AEG2",6.12339529618621,5.95580928474665
"AEG3",5.95696286596358,6.02788301389664
"AEG4",6.12564200824127,6.25787332765758
"AEG5",6.22214276921004,6.23648060467094
"AEG6",6.22311831088737,6.18749415362254
"AEG7",6.25058938385919,6.03318738089874
"AEG8",6.1967364192009,5.90311455056071
"AEG9",6.17993706706911,5.99473017081618
"AEG10",6.16771544544026,6.25392358005047
"AEG11",6.15708749834448,6.01551534552127
"AEG12",6.01570826703683,5.9108020959422
"AEG13",5.90841202158481,5.90810251822695
"AEG14",6.13636103477329,6.25990354884416
"AEG15",6.22001652643084,6.28703635865822
"AEG16",6.13497313940898,6.00402776217088
"AEG17",6.19421270377934,6.29699158854783
"AEG18",6.22052434878424,6.15230254698545
"AEG19",6.24538281802088,6.09654693910852
"SEG47",6.17324945749715,6.2763914886862
"SEG48",6.02535116877407,5.90609090132639
"SEG49",5.93424631180242,5.93862615190446
"SEG50",5.98123052855954,6.15841208426282
"AEG25",5.93800885332748,6.26630409024656
"AEG26",5.99003281053156,5.90224627694115
"AEG27",6.2710222077556,5.93265564590693
"AEG28",6.15887706661597,6.10293524861336
"AEG29",5.91969016660005,6.01985368039459
"AEG30",6.16083963094279,6.23279427597299
"AEG31",5.92741081705317,5.91059436844662
"AEG32",6.04727677665651,5.92506408579648
"AEG33",6.11644111620262,6.12436454361305
"AEG34",6.244747251831,6.25870258370414
"AEG35",6.09098707810044,6.24312302274629
"AEG36",6.06336215501651,5.95067331334576
"AEG37",6.22003901544958,6.05094042588025
"AEG38",6.26744273398072,5.92321390658617
"AEG39",6.11962035065517,6.01732088141143
"AEG40",6.08293998455629,5.91472712531686
"AEG41",6.22302192188799,6.04107421068475
"AEG20",5.91891405498609,5.99401390887797
"AEG21",6.24902084264904,6.09783237436786
"AEG22",5.93722850689664,6.20367782488465
"AEG23",6.2530693680048,6.19088963735849
"AEG24",6.06424124874175,6.22524610450491
"AEG46",6.05604383926839,5.90129133323208
"AEG47",6.0678628962487,6.07786375461146
"AEG48",6.11162946335971,6.1865482147783
"AEG49",6.19296791413799,6.18752252832055
"AEG50",5.96734212664887,6.0359966693446
"AEW1",6.03937512384728,6.05118035152555
"AEW2",6.25091838734224,6.01742369681597
"AEW3",6.0515996530652,5.99765374492854
"AEW4",5.96422851933166,6.21529861055315
"AEW5",6.15949488170445,5.98344750432298
"AEW6",6.2053240230307,6.02034766767174
"AEW7",5.92455667089671,5.97538450229913
"AEW8",6.06003962475806,6.14142064889893
"AEW9",6.12704399898648,5.99627724112943
"AEW10",6.09727011397481,6.29337996682152
"AEG42",6.01265883836895,6.19347650846466
"AEG43",6.03942268444225,6.08009211197496
"AEG44",6.09027416463941,6.10830630557612
"AEG45",6.06942040491849,5.9714872228913
"AEW15",6.14657841622829,6.04015153264627
"AEW16",5.9360755325295,5.95096304789186
"AEW17",6.27254708819091,6.20886456267908
"AEW18",6.06692807702348,6.14389323610812
"AEW19",6.07653994634748,6.0204760523513
"AEW20",6.24074216736481,6.23632985800505
"AEW21",5.93423249712214,6.04346320871264
"AEW22",6.12202682122588,6.15679957484826
"AEW23",6.23874717624858,6.02007342260331
"AEW24",5.95618883762509,6.13952617524192
"AEW25",6.17161328187212,6.08369423029944
"AEW26",6.15351548846811,6.25086654787883
"AEW27",6.20904309926555,6.06412778319791
"AEW28",5.99892808077857,6.2730154376477
"AEW29",6.00118192313239,6.0133948141709
"AEW30",6.2722520894371,5.9154150782153
"AEW31",6.01868255427107,6.00280428277329
"AEW11",6.16438586767763,5.9541161310859
"AEW12",6.13518050275743,6.0358201357536
"AEW13",5.98167402045801,5.91890561021864
"AEW14",5.94309161575511,6.24879113426432
"AEW37",6.0523857165128,6.07037718836218
"AEW38",6.06547406101599,6.08663870207965
"AEW39",6.07987830927595,5.96948867393658
"AEW40",6.22878871271387,6.16919639417902
"AEW41",6.10397084560245,6.19227109672502
"AEW42",6.04344757366925,6.15533056827262
"AEW43",6.08738062698394,6.17922702375799
"AEW44",6.11643366105855,6.22290315655991
"AEW45",6.11920597339049,6.13609317233786
"AEW46",6.00684562195092,6.07147840643302
"AEW47",6.02533244946972,5.99255825513974
"AEW48",5.98153766551986,6.007111824397
"AEW49",6.02787378812209,6.07534029977396
"AEW50",6.12151017887518,5.99317785948515
"HEG1",6.14063746724278,6.13512537395582
"HEG2",6.00096709169447,6.03587699700147
"HEG3",6.10556844156235,6.06514482265338
"AEW32",6.28742488035932,6.2560918783769
"AEW33",5.96789511069655,6.08597003668547
"AEW34",6.17500832211226,5.97105478830636
"AEW35",5.96133911954239,5.94205840826035
"AEW36",6.26840750426054,6.03363478574902
"HEG9",6.0913569195196,5.92143175713718
"HEG10",6.29526029871777,6.203344400879
"HEG11",6.04895234992728,5.99199105454609
"HEG12",6.02361485213041,6.15363561613485
"HEG13",6.1402752302587,6.01855127550662
"HEG14",6.29096698239446,6.04685731744394
"HEG15",6.10333076119423,6.05623941347003
"HEG16",6.21892154645175,6.15509913507849
"HEG17",6.12513033822179,6.13951216647401
"HEG18",6.19906933438033,6.04684353843331
"HEG19",6.02728149089962,6.05047547714785
"HEG20",6.14464545408264,5.99134724484757
"HEG21",6.25353600187227,6.01729291379452
"HEG22",6.13173035336658,6.05166906137019
"HEG23",6.23898444976658,5.91933724414557
"HEG24",6.08670380394906,6.00859849862754
"HEG25",6.24681497011334,6.05901174321771
"HEG4",6.23320546969771,6.0063469578512
"HEG5",6.03773880032823,5.98947122944519
"HEG6",6.03479816690087,6.14722039410844
"HEG7",6.07305539362133,6.19824796738103
"HEG8",6.15294054308906,6.22989622764289
"HEG26",6.08538547595963,5.9797670179978
"HEG27",6.02328116539866,6.28322112560272
"HEG28",6.15444541592151,6.09137393608689
"HEG29",6.1071091777645,6.01708865715191
"HEG30",6.01447216710076,6.20602237582207
"HEG31",6.22319946587086,5.92427186621353
"HEG32",6.22068092087284,6.09661511955783
"HEG33",6.23023642478511,6.19597129402682
"HEG34",6.04052038518712,5.99535163957626
"HEG35",6.01572742667049,6.06952409455553
"HEG36",6.10209993198514,6.20042165275663
"HEG37",6.12254504822195,6.2320641187951
"HEG38",6.15227887844667,6.2622294367291
"HEG39",6.08525935532525,6.14506244920194
"HEG40",6.27214086763561,6.05717029124498
"HEG41",6.1000871123746,6.1211188191548
"HEG42",6.22086850227788,6.25285077169538
"HEG43",6.08466360503808,6.09848141120747
"HEG44",6.29443174405023,6.29255292117596
"HEG45",6.16256927931681,5.90626411363483
"HEG46",5.97872830992565,6.12187443524599
"HEG47",6.24546743314713,6.12483439939097
"HEG48",6.20048990100622,6.0232833519578
"HEG49",6.029555218108,6.03799851518124
"HEG50",6.25853107897565,6.24457333981991
