"EP_Plotid","nspec","nobs"
"HEW37",30,244
"HEW38",411,169
"HEW39",177,219
"HEW40",329,133
"HEW41",498,177
"HEW42",264,116
"HEW43",387,141
"HEW44",305,194
"HEW45",459,202
"HEW46",301,111
"HEW47",104,166
"HEW48",113,234
"HEW49",263,194
"HEW25",305,159
"SEG27",277,162
"SEG28",291,110
"SEG29",101,137
"SEG30",307,130
"SEG31",399,179
"SEG32",452,154
"SEG33",222,112
"SEG34",146,205
"SEG35",90,195
"SEG36",489,142
"SEG37",136,228
"SEG38",95,100
"SEG39",107,109
"SEG40",391,160
"SEG41",322,190
"SEG42",241,212
"SEG43",99,231
"SEG44",455,190
"SEG45",492,223
"SEG46",106,209
"AEG1",176,207
"AEG2",480,248
"AEG3",478,227
"AEG4",31,170
"AEG5",270,177
"AEG6",390,214
"AEG7",161,146
"AEG8",456,150
"AEG9",203,128
"AEG10",334,235
"AEG11",290,232
"AEG12",393,236
"AEG13",205,176
"AEG14",65,176
"AEG15",267,234
"AEG16",406,171
"AEG17",30,100
"AEG18",277,127
"AEG19",170,170
"SEG47",116,176
"SEG48",479,246
"SEG49",122,146
"SEG50",71,199
"AEG25",155,187
"AEG26",142,116
"AEG27",110,197
"AEG28",210,186
"AEG29",305,103
"AEG30",252,173
"AEG31",349,116
"AEG32",431,119
"AEG33",185,202
"AEG34",135,249
"AEG35",43,143
"AEG36",185,161
"AEG37",55,161
"AEG38",450,192
"AEG39",444,177
"AEG40",165,230
"AEG41",498,200
"AEG20",34,151
"AEG21",287,220
"AEG22",238,218
"AEG23",17,177
"AEG24",185,159
"AEG46",349,201
"AEG47",238,208
"AEG48",468,149
"AEG49",403,128
"AEG50",472,234
"AEW1",379,197
"AEW2",87,129
"AEW3",405,196
"AEW4",436,233
"AEW5",49,154
"AEW6",0,240
"AEW7",454,126
"AEW8",109,217
"AEW9",440,110
"AEW10",420,248
"AEG42",169,105
"AEG43",458,136
"AEG44",453,137
"AEG45",426,100
"AEW15",6,178
"AEW16",242,117
"AEW17",325,146
"AEW18",25,211
"AEW19",24,189
"AEW20",425,154
"AEW21",483,163
"AEW22",265,115
"AEW23",15,109
"AEW24",10,243
"AEW25",189,192
"AEW26",248,151
"AEW27",238,128
"AEW28",68,108
"AEW29",277,161
"AEW30",277,248
"AEW31",312,146
"AEW11",186,175
"AEW12",164,144
"AEW13",327,205
"AEW14",102,186
"AEW37",397,209
"AEW38",148,159
"AEW39",428,132
"AEW40",115,190
"AEW41",196,115
"AEW42",120,203
"AEW43",134,120
"AEW44",226,202
"AEW45",174,149
"AEW46",436,189
"AEW47",347,149
"AEW48",245,237
"AEW49",128,183
"AEW50",340,110
"HEG1",110,229
"HEG2",71,219
"HEG3",6,249
"AEW32",463,238
"AEW33",302,248
"AEW34",280,201
"AEW35",31,176
"AEW36",400,189
"HEG9",287,226
"HEG10",452,190
"HEG11",8,173
"HEG12",39,137
"HEG13",402,110
"HEG14",290,163
"HEG15",111,232
"HEG16",163,194
"HEG17",307,211
"HEG18",368,111
"HEG19",142,180
"HEG20",266,176
"HEG21",340,190
"HEG22",236,210
"HEG23",357,143
"HEG24",455,224
"HEG25",410,135
"HEG4",462,125
"HEG5",190,128
"HEG6",93,225
"HEG7",63,109
"HEG8",365,177
"HEG26",128,206
"HEG27",16,242
"HEG28",174,108
"HEG29",53,181
"HEG30",300,103
"HEG31",489,243
"HEG32",319,180
"HEG33",236,148
"HEG34",284,108
"HEG35",141,150
"HEG36",227,201
"HEG37",112,168
"HEG38",96,123
"HEG39",355,220
"HEG40",147,206
"HEG41",17,128
"HEG42",67,171
"HEG43",102,149
"HEG44",460,238
"HEG45",89,104
"HEG46",443,168
"HEG47",189,165
"HEG48",32,199
"HEG49",315,229
"HEG50",390,186
