"EP_Plotid","Year","Species","TreesPerHa"
"SEW33",2015,"Genus1_epithet2",312
"SEW34",2015,"Genus1_epithet2",869
"SEW35",2015,"Genus1_epithet2",768
"SEW36",2015,"Genus1_epithet2",867
"SEW37",2015,"Genus1_epithet2",809
"SEW38",2015,"Genus1_epithet2",549
"SEW39",2015,"Genus1_epithet2",20
"SEW40",2015,"Genus1_epithet2",99
"SEW41",2015,"Genus1_epithet2",939
"SEW21",2015,"Genus1_epithet2",947
"SEW22",2015,"Genus1_epithet2",865
"SEW23",2015,"Genus1_epithet2",798
"SEW24",2015,"Genus1_epithet2",11
"HEW51",2015,"Genus1_epithet2",563
"SEW1",2015,"Genus1_epithet2",348
"SEW2",2015,"Genus1_epithet2",542
"SEW3",2015,"Genus1_epithet2",949
"SEW4",2015,"Genus1_epithet2",102
"SEW5",2015,"Genus1_epithet2",626
"SEW6",2015,"Genus1_epithet2",309
"SEW7",2015,"Genus1_epithet2",669
"SEW8",2015,"Genus1_epithet2",524
"SEW9",2015,"Genus1_epithet2",286
"SEW10",2015,"Genus1_epithet2",464
"SEW11",2015,"Genus1_epithet2",815
"SEW12",2015,"Genus1_epithet2",475
"SEW13",2015,"Genus1_epithet2",799
"SEW14",2015,"Genus1_epithet2",883
"SEW15",2015,"Genus1_epithet2",458
"SEW16",2015,"Genus1_epithet2",813
"SEW17",2015,"Genus1_epithet2",731
"SEW18",2015,"Genus1_epithet2",811
"SEW19",2015,"Genus1_epithet2",456
"SEW20",2015,"Genus1_epithet2",751
"HEW50",2015,"Genus1_epithet2",770
"HEW1",2015,"Genus1_epithet2",764
"HEW2",2015,"Genus1_epithet2",83
"HEW3",2015,"Genus1_epithet2",38
"HEW4",2015,"Genus1_epithet2",950
"HEW5",2015,"Genus1_epithet2",490
"HEW6",2015,"Genus1_epithet2",569
"HEW7",2015,"Genus1_epithet2",691
"HEW8",2015,"Genus1_epithet2",145
"HEW9",2015,"Genus1_epithet2",382
"HEW10",2015,"Genus1_epithet2",296
"HEW11",2015,"Genus1_epithet2",745
"HEW12",2015,"Genus1_epithet2",401
"HEW14",2015,"Genus1_epithet2",785
"HEW15",2015,"Genus1_epithet2",527
"HEW16",2015,"Genus1_epithet2",940
"HEW17",2015,"Genus1_epithet2",528
"HEW18",2015,"Genus1_epithet2",976
"HEW19",2015,"Genus1_epithet2",733
"HEW20",2015,"Genus1_epithet2",816
"HEW21",2015,"Genus1_epithet2",376
"HEW22",2015,"Genus1_epithet2",3
"HEW23",2015,"Genus1_epithet2",482
"HEW24",2015,"Genus1_epithet2",238
"HEW26",2015,"Genus1_epithet2",119
"HEW27",2015,"Genus1_epithet2",938
"HEW28",2015,"Genus1_epithet2",144
"HEW29",2015,"Genus1_epithet2",822
"HEW30",2015,"Genus1_epithet2",521
"HEW31",2015,"Genus1_epithet2",856
"HEW32",2015,"Genus1_epithet2",305
"HEW33",2015,"Genus1_epithet2",876
"HEW34",2015,"Genus1_epithet2",965
"HEW35",2015,"Genus1_epithet2",242
"HEW36",2015,"Genus1_epithet2",667
"HEW37",2015,"Genus1_epithet2",430
"HEW38",2015,"Genus1_epithet2",9
"HEW39",2015,"Genus1_epithet2",363
"HEW40",2015,"Genus1_epithet2",753
"HEW41",2015,"Genus1_epithet2",668
"HEW42",2015,"Genus1_epithet2",245
"HEW43",2015,"Genus1_epithet2",669
"HEW44",2015,"Genus1_epithet2",89
"HEW45",2015,"Genus1_epithet2",701
"HEW46",2015,"Genus1_epithet2",172
"HEW47",2015,"Genus1_epithet2",313
"HEW48",2015,"Genus1_epithet2",375
"HEW49",2015,"Genus1_epithet2",517
"HEW25",2015,"Genus1_epithet2",848
"SEG27",2015,"Genus1_epithet2",297
"SEG28",2015,"Genus1_epithet2",75
"SEG29",2015,"Genus1_epithet2",820
"SEG30",2015,"Genus1_epithet2",760
"SEG31",2015,"Genus1_epithet2",43
"SEG32",2015,"Genus1_epithet2",808
"SEG33",2015,"Genus1_epithet2",269
"SEG34",2015,"Genus1_epithet2",192
"SEG35",2015,"Genus1_epithet2",973
"SEG36",2015,"Genus1_epithet2",701
"SEG37",2015,"Genus1_epithet2",13
"SEG38",2015,"Genus1_epithet2",818
"SEG39",2015,"Genus1_epithet2",479
"SEG40",2015,"Genus1_epithet2",198
"SEG41",2015,"Genus1_epithet2",95
"SEG42",2015,"Genus1_epithet2",313
"SEG43",2015,"Genus1_epithet2",427
"SEG44",2015,"Genus1_epithet2",990
"SEG45",2015,"Genus1_epithet2",740
"SEG46",2015,"Genus1_epithet2",722
"AEG1",2015,"Genus1_epithet2",238
"AEG2",2015,"Genus1_epithet2",111
"AEG3",2015,"Genus1_epithet2",174
"AEG4",2015,"Genus1_epithet2",355
"AEG5",2015,"Genus1_epithet2",587
"AEG6",2015,"Genus1_epithet2",115
"AEG7",2015,"Genus1_epithet2",618
"AEG8",2015,"Genus1_epithet2",566
"AEG9",2015,"Genus1_epithet2",553
"AEG10",2015,"Genus1_epithet2",30
"AEG11",2015,"Genus1_epithet2",118
"AEG12",2015,"Genus1_epithet2",572
"AEG13",2015,"Genus1_epithet2",710
"AEG14",2015,"Genus1_epithet2",157
"AEG15",2015,"Genus1_epithet2",476
"AEG16",2015,"Genus1_epithet2",700
"AEG17",2015,"Genus1_epithet2",220
"AEG18",2015,"Genus1_epithet2",231
"AEG19",2015,"Genus1_epithet2",615
"SEG47",2015,"Genus1_epithet2",128
"SEG48",2015,"Genus1_epithet2",831
"SEG49",2015,"Genus1_epithet2",926
"SEG50",2015,"Genus1_epithet2",9
"AEG25",2015,"Genus1_epithet2",807
"AEG26",2015,"Genus1_epithet2",452
"AEG27",2015,"Genus1_epithet2",802
"AEG28",2015,"Genus1_epithet2",252
"AEG29",2015,"Genus1_epithet2",117
"AEG30",2015,"Genus1_epithet2",756
"AEG31",2015,"Genus1_epithet2",358
"AEG32",2015,"Genus1_epithet2",999
"AEG33",2015,"Genus1_epithet2",875
"AEG34",2015,"Genus1_epithet2",413
"AEG35",2015,"Genus1_epithet2",558
"AEG36",2015,"Genus1_epithet2",280
"AEG37",2015,"Genus1_epithet2",956
"AEG38",2015,"Genus1_epithet2",862
"AEG39",2015,"Genus1_epithet2",468
"AEG40",2015,"Genus1_epithet2",92
"AEG41",2015,"Genus1_epithet2",349
"AEG20",2015,"Genus1_epithet2",486
"AEG21",2015,"Genus1_epithet2",379
"AEG22",2015,"Genus1_epithet2",964
"AEG23",2015,"Genus1_epithet2",427
"AEG24",2015,"Genus1_epithet2",315
"AEG46",2015,"Genus1_epithet2",43
"AEG47",2015,"Genus1_epithet2",415
"AEG48",2015,"Genus1_epithet2",389
"AEG49",2015,"Genus1_epithet2",921
"AEG50",2015,"Genus1_epithet2",853
"AEW1",2015,"Genus1_epithet2",302
"AEW2",2015,"Genus1_epithet2",47
"AEW3",2015,"Genus1_epithet2",978
"AEW4",2015,"Genus1_epithet2",336
"AEW5",2015,"Genus1_epithet2",189
"AEW6",2015,"Genus1_epithet2",999
"AEW7",2015,"Genus1_epithet2",71
"AEW8",2015,"Genus1_epithet2",581
"AEW9",2015,"Genus1_epithet2",183
"AEW10",2015,"Genus1_epithet2",49
"AEG42",2015,"Genus1_epithet2",4
"AEG43",2015,"Genus1_epithet2",71
"AEG44",2015,"Genus1_epithet2",938
"AEG45",2015,"Genus1_epithet2",783
"AEW15",2015,"Genus1_epithet2",534
"AEW16",2015,"Genus1_epithet2",506
"AEW17",2015,"Genus1_epithet2",826
"AEW18",2015,"Genus1_epithet2",584
"AEW19",2015,"Genus1_epithet2",634
"AEW20",2015,"Genus1_epithet2",808
"AEW21",2015,"Genus1_epithet2",209
"AEW22",2015,"Genus1_epithet2",589
"AEW23",2015,"Genus1_epithet2",847
"AEW24",2015,"Genus1_epithet2",606
"AEW25",2015,"Genus1_epithet2",57
"AEW26",2015,"Genus1_epithet2",218
"AEW27",2015,"Genus1_epithet2",563
"AEW28",2015,"Genus1_epithet2",24
"AEW29",2015,"Genus1_epithet2",449
"AEW30",2015,"Genus1_epithet2",83
"AEW31",2015,"Genus1_epithet2",226
"AEW11",2015,"Genus1_epithet2",625
"AEW12",2015,"Genus1_epithet2",552
"AEW13",2015,"Genus1_epithet2",684
"AEW14",2015,"Genus1_epithet2",459
"AEW37",2015,"Genus1_epithet2",979
"AEW38",2015,"Genus1_epithet2",786
"AEW39",2015,"Genus1_epithet2",414
"AEW40",2015,"Genus1_epithet2",740
"AEW41",2015,"Genus1_epithet2",929
"AEW42",2015,"Genus1_epithet2",267
"AEW43",2015,"Genus1_epithet2",109
"AEW44",2015,"Genus1_epithet2",869
"AEW45",2015,"Genus1_epithet2",792
"AEW46",2015,"Genus1_epithet2",206
"AEW47",2015,"Genus1_epithet2",554
"AEW48",2015,"Genus1_epithet2",256
"AEW49",2015,"Genus1_epithet2",165
"AEW50",2015,"Genus1_epithet2",309
"HEG1",2015,"Genus1_epithet2",275
"HEG2",2015,"Genus1_epithet2",392
"HEG3",2015,"Genus1_epithet2",854
"AEW32",2015,"Genus1_epithet2",401
"AEW33",2015,"Genus1_epithet2",565
"AEW34",2015,"Genus1_epithet2",635
"AEW35",2015,"Genus1_epithet2",606
"AEW36",2015,"Genus1_epithet2",533
"HEG9",2015,"Genus1_epithet2",792
"HEG10",2015,"Genus1_epithet2",41
"HEG11",2015,"Genus1_epithet2",987
"HEG12",2015,"Genus1_epithet2",867
"HEG13",2015,"Genus1_epithet2",312
"HEG14",2015,"Genus1_epithet2",325
"HEG15",2015,"Genus1_epithet2",522
"HEG16",2015,"Genus1_epithet2",509
"HEG17",2015,"Genus1_epithet2",735
"HEG18",2015,"Genus1_epithet2",87
"HEG19",2015,"Genus1_epithet2",279
"HEG20",2015,"Genus1_epithet2",252
"HEG21",2015,"Genus1_epithet2",147
"HEG22",2015,"Genus1_epithet2",609
"HEG23",2015,"Genus1_epithet2",413
"HEG24",2015,"Genus1_epithet2",18
"HEG25",2015,"Genus1_epithet2",7
"HEG4",2015,"Genus1_epithet2",560
"HEG5",2015,"Genus1_epithet2",307
"HEG6",2015,"Genus1_epithet2",81
"HEG7",2015,"Genus1_epithet2",394
"HEG8",2015,"Genus1_epithet2",81
"HEG26",2015,"Genus1_epithet2",758
"HEG27",2015,"Genus1_epithet2",384
"HEG28",2015,"Genus1_epithet2",368
"HEG29",2015,"Genus1_epithet2",758
"HEG30",2015,"Genus1_epithet2",571
"HEG31",2015,"Genus1_epithet2",243
"HEG32",2015,"Genus1_epithet2",799
"HEG33",2015,"Genus1_epithet2",716
"HEG34",2015,"Genus1_epithet2",49
"HEG35",2015,"Genus1_epithet2",586
"HEG36",2015,"Genus1_epithet2",654
"HEG37",2015,"Genus1_epithet2",257
"HEG38",2015,"Genus1_epithet2",939
"HEG39",2015,"Genus1_epithet2",977
"HEG40",2015,"Genus1_epithet2",392
"HEG41",2015,"Genus1_epithet2",597
"HEG42",2015,"Genus1_epithet2",546
"HEG43",2015,"Genus1_epithet2",477
"HEG44",2015,"Genus1_epithet2",943
"HEG45",2015,"Genus1_epithet2",366
"HEG46",2015,"Genus1_epithet2",16
"HEG47",2015,"Genus1_epithet2",468
"HEG48",2015,"Genus1_epithet2",991
"HEG49",2015,"Genus1_epithet2",437
"HEG50",2015,"Genus1_epithet2",263
"HEW13",2015,"Genus1_epithet3",718
"SEG14",2015,"Genus1_epithet3",1000
"SEG15",2015,"Genus1_epithet3",58
"SEG16",2015,"Genus1_epithet3",376
"SEG17",2015,"Genus1_epithet3",717
"SEG18",2015,"Genus1_epithet3",327
"SEG19",2015,"Genus1_epithet3",195
"SEG20",2015,"Genus1_epithet3",652
"SEG21",2015,"Genus1_epithet3",689
"SEG22",2015,"Genus1_epithet3",691
"SEG23",2015,"Genus1_epithet3",145
"SEG24",2015,"Genus1_epithet3",425
"SEG25",2015,"Genus1_epithet3",160
"SEG26",2015,"Genus1_epithet3",416
"SEG1",2015,"Genus1_epithet3",193
"SEG2",2015,"Genus1_epithet3",828
"SEG3",2015,"Genus1_epithet3",961
"SEG4",2015,"Genus1_epithet3",838
"SEG5",2015,"Genus1_epithet3",730
"SEG6",2015,"Genus1_epithet3",646
"SEG7",2015,"Genus1_epithet3",161
"SEG8",2015,"Genus1_epithet3",676
"SEG9",2015,"Genus1_epithet3",482
"SEG10",2015,"Genus1_epithet3",641
"SEG11",2015,"Genus1_epithet3",915
"SEG12",2015,"Genus1_epithet3",155
"SEG13",2015,"Genus1_epithet3",672
"SEW42",2015,"Genus1_epithet3",267
"SEW43",2015,"Genus1_epithet3",447
"SEW44",2015,"Genus1_epithet3",776
"SEW45",2015,"Genus1_epithet3",771
"SEW46",2015,"Genus1_epithet3",426
