"Plot","Rarefaction_slope"
"HEW5",0.00103675830938037
"HEW50",0.00107773697041085
"HEW51",0.00112000627542156
"HEW6",0.00101423493627932
"HEW7",0.00107295680024762
"HEW8",0.00105111267342983
"HEW9",0.00108903864596739
"SEG1",0.00112143503884689
"SEG10",0.0010899474577508
"SEG11",0.00105141828152714
"SEG12",0.00105500255619158
"SEG13",0.00107344333763729
"SEG14",0.00111720167637409
"SEG15",0.00115320752180542
"SEG16",0.00114112702955632
"SEG17",0.00106077758660508
"SEG18",0.00104474376267717
"SEG19",0.00101419949808256
"SEG2",0.00116240661542242
"SEG20",0.00106882970077354
"SEG21",0.00112035655263424
"SEG22",0.00119547754507356
"SEG23",0.00109092830967177
"SEG24",0.00113691903850583
"SEG25",0.00113581926162534
"SEG26",0.0010902848764896
"SEG27",0.000973361644275597
"SEG28",0.001080082398463
"SEG29",0.00123987612180266
"SEG3",0.00111670393039353
"SEG30",0.00113244329700234
"SEG31",0.00115139744085754
"SEG32",0.00101362264807908
"SEG33",0.001083046933791
"SEG34",0.00111991003789205
"SEG35",0.00119406688859026
"SEG36",0.00110530980117623
"SEG37",0.00108516645878188
"SEG38",0.00103434614548985
"SEG39",0.00112051336807825
"SEG4",0.0012201387478692
"SEG40",0.00101698289719956
"SEG41",0.00113565770277144
"SEG42",0.0010999877679074
"SEG43",0.00114059655522229
"SEG44",0.00111792849762101
"SEG45",0.00105304230029573
"SEG46",0.00111992456745275
"SEG47",0.00112099220260377
"SEG48",0.00109087255757323
"SEG49",0.00115795645094226
"SEG5",0.00111281343915179
"SEG50",0.0010265753987543
"SEG6",0.00105208715102115
"SEG7",0.00103850781559438
"SEG8",0.00108651816509968
"SEG9",0.00112101030794293
"SEW1",0.00111409686244909
"SEW10",0.00114475675528732
"SEW11",0.00108419707292646
"SEW12",0.001062169605732
"SEW13",0.00106319846935699
"SEW14",0.00112671766619161
"SEW15",0.00104946500688747
"SEW16",0.00107774909929184
"SEW17",0.00111295035407835
"SEW18",0.00114513477792351
"SEW19",0.00110604541586934
"SEW2",0.00106097919193141
"SEW20",0.00111875561131966
"SEW21",0.00105867767023051
"SEW22",0.00108187322567945
"SEW23",0.00109933717535243
"SEW24",0.00110841223728122
"SEW25",0.00108906348317687
"SEW26",0.0011240892917327
"SEW27",0.00109548592005303
"SEW28",0.00112731889508503
"SEW29",0.00109502474567754
"SEW3",0.00111579351355663
"SEW30",0.00113354560704944
"SEW31",0.00112163618393258
"SEW32",0.00112265926497783
"SEW33",0.00115411185474324
"SEW34",0.00109537829391497
"SEW35",0.00105482530654482
"SEW36",0.00111824324556694
"SEW37",0.00103723783115162
"SEW38",0.00112630586421942
"SEW39",0.00103132165267623
"SEW4",0.00114996242442131
"SEW40",0.00109618788416965
"SEW41",0.00107893284605655
"SEW42",0.00106579733216155
"SEW43",0.00105575798061438
"SEW44",0.00115891906610619
"SEW45",0.00117264754713421
"SEW46",0.00115425382526592
"SEW47",0.00114494670928405
"SEW48",0.00111953491564362
"SEW49",0.00114412556083555
"SEW5",0.00108951371629029
"SEW50",0.00110405453151733
"SEW6",0.00111733719829184
"SEW7",0.00114552374372727
"SEW8",0.00111378009138769
"SEW9",0.00106670517360646
