"","TotC_14567_5","TotN_14567_5","CN_14567_5","Genus1_18269_2","Genus2_18269_2","Genus3_18269_2","nspec_18526_2","mean_14447_8","median_14447_8","sd_14447_8","mad_14447_8","spec1_mean_19850_1","spec2_mean_19850_1","spec3_mean_19850_1","spec4_mean_19850_1","spec5_mean_19850_1","spec6_mean_19850_1","spec7_mean_19850_1","spec8_mean_19850_1","spec9_mean_19850_1","spec10_mean_19850_1","spec1_median_19850_1","spec2_median_19850_1","spec3_median_19850_1","spec4_median_19850_1","spec5_median_19850_1","spec6_median_19850_1","spec7_median_19850_1","spec8_median_19850_1","spec9_median_19850_1","spec10_median_19850_1","spec1_sd_19850_1","spec2_sd_19850_1","spec3_sd_19850_1","spec4_sd_19850_1","spec5_sd_19850_1","spec6_sd_19850_1","spec7_sd_19850_1","spec8_sd_19850_1","spec9_sd_19850_1","spec10_sd_19850_1","spec1_mad_19850_1","spec2_mad_19850_1","spec3_mad_19850_1","spec4_mad_19850_1","spec5_mad_19850_1","spec6_mad_19850_1","spec7_mad_19850_1","spec8_mad_19850_1","spec9_mad_19850_1","spec10_mad_19850_1","clim_var1_mean_19007_20240102","clim_var2_mean_19007_20240102","clim_var3_mean_19007_20240102","clim_var4_mean_19007_20240102","clim_var5_mean_19007_20240102","clim_var6_mean_19007_20240102","clim_var7_mean_19007_20240102","clim_var8_mean_19007_20240102","clim_var9_mean_19007_20240102","clim_var10_mean_19007_20240102","clim_var11_mean_19007_20240102","clim_var12_mean_19007_20240102","clim_var13_mean_19007_20240102","clim_var14_mean_19007_20240102","clim_var15_mean_19007_20240102","clim_var16_mean_19007_20240102","clim_var17_mean_19007_20240102","clim_var18_mean_19007_20240102","clim_var19_mean_19007_20240102","clim_var20_mean_19007_20240102","clim_var21_mean_19007_20240102","clim_var22_mean_19007_20240102","clim_var23_mean_19007_20240102","clim_var24_mean_19007_20240102","clim_var25_mean_19007_20240102","clim_var26_mean_19007_20240102","clim_var27_mean_19007_20240102","clim_var28_mean_19007_20240102","clim_var29_mean_19007_20240102","clim_var30_mean_19007_20240102","clim_var31_mean_19007_20240102","clim_var32_mean_19007_20240102","clim_var33_mean_19007_20240102","clim_var34_mean_19007_20240102","clim_var35_mean_19007_20240102","clim_var36_mean_19007_20240102","clim_var37_mean_19007_20240102","clim_var38_mean_19007_20240102","clim_var39_mean_19007_20240102","clim_var40_mean_19007_20240102","clim_var41_mean_19007_20240102","clim_var42_mean_19007_20240102","clim_var43_mean_19007_20240102","clim_var44_mean_19007_20240102","clim_var45_mean_19007_20240102","clim_var46_mean_19007_20240102","clim_var47_mean_19007_20240102","clim_var48_mean_19007_20240102","clim_var49_mean_19007_20240102","clim_var50_mean_19007_20240102","clim_var1_median_19007_20240102","clim_var2_median_19007_20240102","clim_var3_median_19007_20240102","clim_var4_median_19007_20240102","clim_var5_median_19007_20240102","clim_var6_median_19007_20240102","clim_var7_median_19007_20240102","clim_var8_median_19007_20240102","clim_var9_median_19007_20240102","clim_var10_median_19007_20240102","clim_var11_median_19007_20240102","clim_var12_median_19007_20240102","clim_var13_median_19007_20240102","clim_var14_median_19007_20240102","clim_var15_median_19007_20240102","clim_var16_median_19007_20240102","clim_var17_median_19007_20240102","clim_var18_median_19007_20240102","clim_var19_median_19007_20240102","clim_var20_median_19007_20240102","clim_var21_median_19007_20240102","clim_var22_median_19007_20240102","clim_var23_median_19007_20240102","clim_var24_median_19007_20240102","clim_var25_median_19007_20240102","clim_var26_median_19007_20240102","clim_var27_median_19007_20240102","clim_var28_median_19007_20240102","clim_var29_median_19007_20240102","clim_var30_median_19007_20240102","clim_var31_median_19007_20240102","clim_var32_median_19007_20240102","clim_var33_median_19007_20240102","clim_var34_median_19007_20240102","clim_var35_median_19007_20240102","clim_var36_median_19007_20240102","clim_var37_median_19007_20240102","clim_var38_median_19007_20240102","clim_var39_median_19007_20240102","clim_var40_median_19007_20240102","clim_var41_median_19007_20240102","clim_var42_median_19007_20240102","clim_var43_median_19007_20240102","clim_var44_median_19007_20240102","clim_var45_median_19007_20240102","clim_var46_median_19007_20240102","clim_var47_median_19007_20240102","clim_var48_median_19007_20240102","clim_var49_median_19007_20240102","clim_var50_median_19007_20240102","clim_var1_sd_19007_20240102","clim_var2_sd_19007_20240102","clim_var3_sd_19007_20240102","clim_var4_sd_19007_20240102","clim_var5_sd_19007_20240102","clim_var6_sd_19007_20240102","clim_var7_sd_19007_20240102","clim_var8_sd_19007_20240102","clim_var9_sd_19007_20240102","clim_var10_sd_19007_20240102","clim_var11_sd_19007_20240102","clim_var12_sd_19007_20240102","clim_var13_sd_19007_20240102","clim_var14_sd_19007_20240102","clim_var15_sd_19007_20240102","clim_var16_sd_19007_20240102","clim_var17_sd_19007_20240102","clim_var18_sd_19007_20240102","clim_var19_sd_19007_20240102","clim_var20_sd_19007_20240102","clim_var21_sd_19007_20240102","clim_var22_sd_19007_20240102","clim_var23_sd_19007_20240102","clim_var24_sd_19007_20240102","clim_var25_sd_19007_20240102","clim_var26_sd_19007_20240102","clim_var27_sd_19007_20240102","clim_var28_sd_19007_20240102","clim_var29_sd_19007_20240102","clim_var30_sd_19007_20240102","clim_var31_sd_19007_20240102","clim_var32_sd_19007_20240102","clim_var33_sd_19007_20240102","clim_var34_sd_19007_20240102","clim_var35_sd_19007_20240102","clim_var36_sd_19007_20240102","clim_var37_sd_19007_20240102","clim_var38_sd_19007_20240102","clim_var39_sd_19007_20240102","clim_var40_sd_19007_20240102","clim_var41_sd_19007_20240102","clim_var42_sd_19007_20240102","clim_var43_sd_19007_20240102","clim_var44_sd_19007_20240102","clim_var45_sd_19007_20240102","clim_var46_sd_19007_20240102","clim_var47_sd_19007_20240102","clim_var48_sd_19007_20240102","clim_var49_sd_19007_20240102","clim_var50_sd_19007_20240102","clim_var1_mad_19007_20240102","clim_var2_mad_19007_20240102","clim_var3_mad_19007_20240102","clim_var4_mad_19007_20240102","clim_var5_mad_19007_20240102","clim_var6_mad_19007_20240102","clim_var7_mad_19007_20240102","clim_var8_mad_19007_20240102","clim_var9_mad_19007_20240102","clim_var10_mad_19007_20240102","clim_var11_mad_19007_20240102","clim_var12_mad_19007_20240102","clim_var13_mad_19007_20240102","clim_var14_mad_19007_20240102","clim_var15_mad_19007_20240102","clim_var16_mad_19007_20240102","clim_var17_mad_19007_20240102","clim_var18_mad_19007_20240102","clim_var19_mad_19007_20240102","clim_var20_mad_19007_20240102","clim_var21_mad_19007_20240102","clim_var22_mad_19007_20240102","clim_var23_mad_19007_20240102","clim_var24_mad_19007_20240102","clim_var25_mad_19007_20240102","clim_var26_mad_19007_20240102","clim_var27_mad_19007_20240102","clim_var28_mad_19007_20240102","clim_var29_mad_19007_20240102","clim_var30_mad_19007_20240102","clim_var31_mad_19007_20240102","clim_var32_mad_19007_20240102","clim_var33_mad_19007_20240102","clim_var34_mad_19007_20240102","clim_var35_mad_19007_20240102","clim_var36_mad_19007_20240102","clim_var37_mad_19007_20240102","clim_var38_mad_19007_20240102","clim_var39_mad_19007_20240102","clim_var40_mad_19007_20240102","clim_var41_mad_19007_20240102","clim_var42_mad_19007_20240102","clim_var43_mad_19007_20240102","clim_var44_mad_19007_20240102","clim_var45_mad_19007_20240102","clim_var46_mad_19007_20240102","clim_var47_mad_19007_20240102","clim_var48_mad_19007_20240102","clim_var49_mad_19007_20240102","clim_var50_mad_19007_20240102","clim_var1_min_19007_20240102","clim_var2_min_19007_20240102","clim_var3_min_19007_20240102","clim_var4_min_19007_20240102","clim_var5_min_19007_20240102","clim_var6_min_19007_20240102","clim_var7_min_19007_20240102","clim_var8_min_19007_20240102","clim_var9_min_19007_20240102","clim_var10_min_19007_20240102","clim_var11_min_19007_20240102","clim_var12_min_19007_20240102","clim_var13_min_19007_20240102","clim_var14_min_19007_20240102","clim_var15_min_19007_20240102","clim_var16_min_19007_20240102","clim_var17_min_19007_20240102","clim_var18_min_19007_20240102","clim_var19_min_19007_20240102","clim_var20_min_19007_20240102","clim_var21_min_19007_20240102","clim_var22_min_19007_20240102","clim_var23_min_19007_20240102","clim_var24_min_19007_20240102","clim_var25_min_19007_20240102","clim_var26_min_19007_20240102","clim_var27_min_19007_20240102","clim_var28_min_19007_20240102","clim_var29_min_19007_20240102","clim_var30_min_19007_20240102","clim_var31_min_19007_20240102","clim_var32_min_19007_20240102","clim_var33_min_19007_20240102","clim_var34_min_19007_20240102","clim_var35_min_19007_20240102","clim_var36_min_19007_20240102","clim_var37_min_19007_20240102","clim_var38_min_19007_20240102","clim_var39_min_19007_20240102","clim_var40_min_19007_20240102","clim_var41_min_19007_20240102","clim_var42_min_19007_20240102","clim_var43_min_19007_20240102","clim_var44_min_19007_20240102","clim_var45_min_19007_20240102","clim_var46_min_19007_20240102","clim_var47_min_19007_20240102","clim_var48_min_19007_20240102","clim_var49_min_19007_20240102","clim_var50_min_19007_20240102","clim_var1_max_19007_20240102","clim_var2_max_19007_20240102","clim_var3_max_19007_20240102","clim_var4_max_19007_20240102","clim_var5_max_19007_20240102","clim_var6_max_19007_20240102","clim_var7_max_19007_20240102","clim_var8_max_19007_20240102","clim_var9_max_19007_20240102","clim_var10_max_19007_20240102","clim_var11_max_19007_20240102","clim_var12_max_19007_20240102","clim_var13_max_19007_20240102","clim_var14_max_19007_20240102","clim_var15_max_19007_20240102","clim_var16_max_19007_20240102","clim_var17_max_19007_20240102","clim_var18_max_19007_20240102","clim_var19_max_19007_20240102","clim_var20_max_19007_20240102","clim_var21_max_19007_20240102","clim_var22_max_19007_20240102","clim_var23_max_19007_20240102","clim_var24_max_19007_20240102","clim_var25_max_19007_20240102","clim_var26_max_19007_20240102","clim_var27_max_19007_20240102","clim_var28_max_19007_20240102","clim_var29_max_19007_20240102","clim_var30_max_19007_20240102","clim_var31_max_19007_20240102","clim_var32_max_19007_20240102","clim_var33_max_19007_20240102","clim_var34_max_19007_20240102","clim_var35_max_19007_20240102","clim_var36_max_19007_20240102","clim_var37_max_19007_20240102","clim_var38_max_19007_20240102","clim_var39_max_19007_20240102","clim_var40_max_19007_20240102","clim_var41_max_19007_20240102","clim_var42_max_19007_20240102","clim_var43_max_19007_20240102","clim_var44_max_19007_20240102","clim_var45_max_19007_20240102","clim_var46_max_19007_20240102","clim_var47_max_19007_20240102","clim_var48_max_19007_20240102","clim_var49_max_19007_20240102","clim_var50_max_19007_20240102","Richness_25067_2","Menhinick_25067_2","Margalef_25067_2","Shannon_25067_2","Simpson_25067_2","Simpson_inv_25067_2"
"clim_var34_mean_19007_20240102",301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301
"clim_var35_mean_19007_20240102",301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301
"clim_var36_mean_19007_20240102",301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301
"clim_var37_mean_19007_20240102",301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301
"clim_var38_mean_19007_20240102",301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301
"clim_var39_mean_19007_20240102",301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301
"clim_var40_mean_19007_20240102",301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301
"clim_var41_mean_19007_20240102",301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301
"clim_var42_mean_19007_20240102",301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301
"clim_var43_mean_19007_20240102",301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301
"clim_var44_mean_19007_20240102",301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301
